strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
IDN/10761001022/2021	2021-01-12	B.1	2.00	20A	Indonesia	Banten	20A	202102	PX063735	Homo sapiens		B.1.459	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/RSDS-RCVTD-UNAIR-33-B/2020	2020-06-24	B.1	2.00	20A	Indonesia	Indonesia	20A	202026	MZ570402	Homo sapiens		B.1	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al			
IDN/RSDS-RCVTD-UNAIR-35-B/2020	2020-06-24	B.1	3.00	20A	Indonesia	Indonesia	20A	202026	MZ570273	Homo sapiens		B.1	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al			
IDN/RSDS-RCVTD-UNAIR-35-A/2020	2020-06-24	B.1	3.00	20A	Indonesia	Indonesia	20A	202026	MZ026853	Homo sapiens		B.1	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al			
IDN/RSDS-RCVTD-UNAIR-6-B/2020	2020-05-19	B.1.470	1.00	20A	Indonesia	Indonesia	20A	202021	MZ026854	Homo sapiens		B.1.470	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al			
IDN/10752101017/2021	2021-04-15	B.1.470	1.00	20A	Indonesia	Bali	20A	202115	PX063745	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10752101007/2021	2021-03-12	B.1.470	2.00	20A	Indonesia	Bali	20A	202110	PX063724	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001023/2021	2021-01-12	B.1.470	2.00	20A	Indonesia	Banten	20A	202102	PX063727	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001030/2021	2021-01-27	B.1.470	2.00	20A	Indonesia	Banten	20A	202104	PX063669	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001034/2021	2021-02-04	B.1.470	1.00	20A	Indonesia	Banten	20A	202105	PX063678	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001037/2021	2021-02-11	B.1.470	1.00	20A	Indonesia	Banten	20A	202106	PX063712	Homo sapiens		B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
NGA/CV290/2020	2020-07-03	B.1	1.00	20A	Nigeria	Nigeria	20A	202027	OQ050467	Homo sapiens		B.1.467	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
EGY/EGY-ARMY-MCL001/2020	2020-11-19	B.1	1.00	20A	Egypt	Egypt	20A	202047	MW547412	Homo sapiens		B.1	Older	Africa	MCL, Biology	Seadawy et al			
OU146362	2021-01-21	B.1.160	3.00	20A	Germany	North Rhine Westphalia	20A	202103	OU146362	Homo sapiens	Clemenshospital - Alexianer Clemenshospital MÃ¼nster, DÃ¼esbergweg 124; 48153 MÃ¼nster	B.1.160	Older	Europe	RKI-OSEDA, Nordufer 20, 13353 Berlin	?			
CHN/S148-1293-248679/2021	2021-04-12	B.1.466.2	3.00	20A	China	China	20A	202115	PP380199	Homo sapiens		B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al			
IDN/10761001042/2021	2021-02-16	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202107	PX063670	Homo sapiens		B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001063/2021	2021-03-23	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202112	PX063674	Homo sapiens		B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001081/2021	2021-04-30	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202117	PX063711	Homo sapiens		B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
CHN/S145-1286-245712/2021	2021-04-10	B.1.466.2	3.00	20A	China	China	20A	202114	PP380196	Homo sapiens		B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al			
CHN/S144-1283-244097/2021	2021-04-08	B.1.466.2	3.00	20A	China	China	20A	202114	PP380195	Homo sapiens		B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al			
IDN/10761001087/2021	2021-05-06	B.1.466.2	4.00	20A	Indonesia	Banten	20A	202118	PX063696	Homo sapiens		B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IDN/10761001084/2021	2021-05-06	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202118	PX063701	Homo sapiens		B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al			
IND/GBRC38/2020	2020-04-29	B.1.36	2.00	20A	India	Gujarat	20A	202018	MT496974	Homo sapiens		B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre	Verma et al			
IRN/4058/2020	2020-09-25	B.1.36.7	2.00	20A	Iran	Iran	20A	202039	MZ314348	Homo sapiens		B.1.36	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Zeinali et al			
IRN/3533/2020	2020-10-10	B.1.36.7	3.00	20A	Iran	Iran	20A	202041	MZ314345	Homo sapiens		B.1.36.7	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Khosravi et al			
IND/CMP_31_FMR/2020	2020-09-09	B.1.36.29	2.00	20A	India	Maharashtra	20A	202037	MW645475	Homo sapiens		B.1.36.29	Older	Asia	The Foundation for Medical Research, Tuberculosis	Nilgiriwala et al			
IND/KA-NIMH-SEQ-83/2020	2020-11-24	B.1.36.29	2.00	20A	India	Karnataka	20A	202048	OM073879	Homo sapiens		B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
IND/KA-NIMH-SEQ-97/2020	2020-12-20	B.1.36.29	2.00	20A	India	Karnataka	20A	202052	OM073892	Homo sapiens		B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
IND/GBRC204a/2020	2020-06-07	B.1.36	1.00	20A	India	Gujarat	20A	202024	MT664117	Homo sapiens	Banas Medical College and Research Institute	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Sabara et al			
IND/GBRC30/2020	2020-04-29	B.1.36	1.00	20A	India	Gujarat	20A	202018	MT467245	Homo sapiens		B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre	Hinsu et al			
IND/GBRC-367b/2020	2020-06-18	B.1.36	2.00	20A	India	Gujarat	20A	202025	MT951181	Homo sapiens	B.J. Medical College and Civil hospital, Ahmedabad	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al			
IND/GBRC400a/2020	2020-06-25	B.1.36	1.00	20A	India	Gujarat	20A	202026	MW165865	Homo sapiens	B.J. Medical College and Civil hospital, Ahmedabad	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al			
IND/GBRC-377a/2020	2020-07-11	B.1.36	1.00	20A	India	Gujarat	20A	202028	MT953891	Homo sapiens	Government General Hospital, Jam Khambhaliya, Devbhoomi Dwarka	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Matani et al			
IND/KA-NIMH-SEQ-104/2021	2021-01-06	B.1.36	2.00	20A	India	Karnataka	20A	202101	OM073898	Homo sapiens		B.1.36	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
IND/KA-NIMH-SEQ-74/2021	2021-01-02	B.1.36	2.00	20A	India	Karnataka	20A	202053	OM073870	Homo sapiens		B.1	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
PAK/AKUs47/2020	2020-07-24	B.1.36	1.00	20A	Pakistan	Pakistan	20A	202030	MW433721	Homo sapiens		B.1.36	Older	Asia	Aga Khan University, Pathology and Laboratory Medicine	Ghanchi et al			
PAK/JRCGR_SCV-58_IBGE-10/2020	2020-12-11	B.1.36	2.00	20A	Pakistan	Islamabad Capital Territory	20A	202050	MW960282	Homo sapiens		B.1.36	Older	Asia	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, Jamil-ur-Rahman Center for Genome Research	Irfan et al			
PAK/JRCGR_SCV-67/2020	2020-11-21	B.1.36.31	4.00	20A	Pakistan	Sindh	20A	202047	MW960289	Homo sapiens		B.1.36.31	Older	Asia	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, Jamil-ur-Rahman Center for Genome Research	Irfan et al			
BGD/NGRI-R2-24/2020	2020-09-10	B.1.36.16	1.00	20A	Bangladesh	Bangladesh	20A	202037	OM967293	Homo sapiens		B.1.36.16	Older	Asia	North South University, NGRI	Hossain et al			
MMR/DSMRC_006/2021	2021-01-09	B.1.36.16	2.00	20A	Myanmar	Myanmar	20A	202101	MW491247	Homo sapiens		B.1.36.16	Older	Asia	Defence Services Medical Research Centre, Special Operations Medical Research Division	Oo et al			
IND/IITRnCoV5/2020	2020-05-27	B.1.36	1.00	20A	India	India	20A	202022	OR655309	Homo sapiens		B.1.36	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al			
IND/KA-NIMH-SEQ-169/2021	2021-01-20	B.1.36	3.00	20A	India	Karnataka	20A	202103	OM073955	Homo sapiens		B.1.36	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
IND/IITRnCoV24/2020	2020-07-27	B.1.36	1.00	20A	India	India	20A	202031	OR655328	Homo sapiens		B.1.36	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al			
IND/GBRC593a/2021	2021-02-20	B.1.36	5.00	20A	India	India	20A	202107	MZ317917	Homo sapiens		B.1.36	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al			
IND/AIIMS-Bhopal-Sample10/2021	2021-02-03	B.1.36	3.00	20A	India	Madhya Pradesh	20A	202105	MZ723921	Homo sapiens		B.1.36	Older	Asia	All India Institute of Medical Sciences, Bhopal, Microbiology	Singh et al			
IND/IITRnCoV21/2020	2020-07-24	B.1.36	2.00	20A	India	India	20A	202030	OR655325	Homo sapiens		B.1.36	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al			
CHN/SH-P183-4-North-America-Canada/2020	2020-09-07	B.1.36	1.00	20A	China	China	20A	202037	OR240649	Homo sapiens		B.1.36	Older	Asia	Fudan University, School of life sciense	Lv et al			
IND/GBRC519b/2020	2020-11-24	B.1.36	1.00	20A	India	India	20A	202048	MZ268627	Homo sapiens		B.1.36	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Patel et al			
IND/GBRC535a/2020	2020-12-17	B.1.36	2.00	20A	India	India	20A	202051	MZ269095	Homo sapiens		B.1.36	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Savaliya et al			
CHN/RS4_pool/2021	2021-01-16	B.1.36	1.00	20A	China	China	20A	202102	MZ578003	Homo sapiens		B.1.36.27	Older	Asia	The University of Hong Kong, Civil Engineering	Xu et al			
IND/ICMR-NIRTH-S4/2020	2020-03-20	B.1.195	2.00	20A	India	Madhya Pradesh	20A	202012	MZ960293	Homo sapiens	ICMR - National Institute of Research in Tribal Health, Jabalpur, MP, India	B.1.195	Older	Asia	ICMR National Institute of Research in Tribal Health, Jabalpur, Communicable Diseases	Dwivedi et al			
MEX/CMX-1/2020	2020-03-28	B.1.609	1.00	20A	Mexico	Mexico	20A	202013	OK435452	Homo sapiens		B.1.609	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al			
MAR/RMPS04/2020	2020-03-30	B.1	1.00	20A	Morocco	Morocco	20A	202014	MT731327	Homo sapiens		B.1	Older	Africa	MedBiotech laboratory, faculty of medicine and pharmacy, rabat/ Mohamed V university rabat, Biotechnologie	Laamarti et al			
MAR/RMPS03/2020	2020-04-03	B.1	1.00	20A	Morocco	Morocco	20A	202014	MT731673	Homo sapiens		B.1	Older	Africa	MedBiotech laboratory, faculty of medicine and pharmacy, rabat/ Mohamed V university rabat, Biotechnologie	Laamarti et al			
Finland/FIN-UH25M-Caco2-P3/2020	2020-03-26	B.1	1.00	20A	Finland	Finland	20A	202013	MW718190	Homo sapiens		B.1	Older	Europe	University of Helsinki, Department of Virology	Cantuti-Castelvetri et al			
POL/PL_MCB_97/2020	2020-05-10	B.1	1.00	20A	Poland	Poland	20A	202020	MW273879	Homo sapiens		B.1.213	Older	Europe	Malopolska Centre of Biotechnology, Jagiellonian University, ViroGenetics - BSL3 Laboratory of Virology	Kowalski et al			
GIN/C2/2020	2020-05-13	B.1	1.00	20A	Guinea	Guinea	20A	202020	MZ622025	Homo sapiens		B.1	Older	Africa	"Russian Research Anti-plague Institute ""Microbe"", Microbiology"	Krasnov et al			
BGD/DNAS_CPH_isl_479_BGD/2020	2020-04-29	B.1	2.00	20A	Bangladesh	Bangladesh	20A	202018	MT581418	Homo sapiens		B.1	Older	Asia	DNA SOLUTION LTD., NGS Lab	Khan et al			
CHN/SH-P153-3-Europe-Russia/2020	2020-04-27	B.1	2.00	20A	China	China	20A	202018	OR240617	Homo sapiens		B.1	Older	Asia	Fudan University, School of life sciense	Lv et al			
NOR/P9/2020	2020-10-14	B.1.258	3.00	20A	Norway	Norway	20A	202042	OR079912	Homo sapiens		B.1.258	Older	Europe	NTNU, IKOM	Smura et al			
CUB/USAFSAM-S030/2020	2020-03-19	B.1	1.00	20A	Cuba	Cuba	20A	202012	MT873896	Homo sapiens	United States Air Force School of Aerospace Medicine	B.1.378	Older	North America	United States Air Force School of Aerospace Medicine, Public Health	Fries et al			
Netherlands/NA_564/2020	2020-04-11	B.1	2.00	20A	Netherlands	Netherlands	20A	202015	LR883704	Homo sapiens		B.1	Older	Europe	Wytemaweg 80 3015 Cn Rotterdam	Oude Munnink et al			
IND/GBRC559b/2021	2021-01-11	B.1	1.00	20A	India	India	20A	202102	MZ292155	Homo sapiens		B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Raval et al			
IND/GBRC558b/2021	2021-01-11	B.1.36	2.00	20A	India	India	20A	202102	MZ292153	Homo sapiens		B.1.36	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al			
IDN/RSDS-RCVTD-UNAIR-11-B/2020	2020-05-19	B.1	1.00	20A	Indonesia	Indonesia	20A	202021	MZ026855	Homo sapiens		B.1.470	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al			
CMR/CPC-21v-37638/2021	2021-03-02	B.1.619	4.00	20A	Cameroon	Cameroon	20A	202109	OQ521529	Homo sapiens		B.1.619	Older	Africa	Ministere de la Sante Publique - Cameroun, Genomic Surveillance Group	Fokam et al			
CMR/CAM-294/2021	2021-04-15	B.1.525	6.00	20A	Cameroon	Cameroon	20A	202115	OQ520990	Homo sapiens		B.1	Older	Africa	Ministere de la Sante Publique - Cameroun, Genomic Surveillance Group	Fokam et al			
NGA/CV1997/2021	2021-02-08	B.1.525	7.00	21D (Eta)	Nigeria	Nigeria	21D	202106	OQ051471	Homo sapiens		B.1.525	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
NGA/CV1280/2021	2021-03-03	B.1.525	8.00	21D (Eta)	Nigeria	Nigeria	21D	202109	OQ050315	Homo sapiens		B.1.525	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
GHA/nmimr-SARS-CoV-2-TRA-21-13568/2021	2021-03-15	B.1.525	7.00	21D (Eta)	Ghana	Ghana	21D	202111	MZ150533	Homo sapiens		B.1.525	Older	Africa	Noguchi Memorial Institute for Medical Research, University of Ghana, Immunology	Adu et al			
MLI/MAL0142/2021	2021-07-31	B.1.525	8.00	21D (Eta)	Mali	Bamako	21D	202130	OL601960	Homo sapiens		B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al			
MLI/MAL0129/2021	2021-04-04	B.1.525	9.00	21D (Eta)	Mali	Bamako	21D	202114	OL601947	Homo sapiens		B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al			
NGA/CV1134/2021	2021-04-11	B.1.525	7.00	21D (Eta)	Nigeria	Nigeria	21D	202115	OQ050291	Homo sapiens		B.1.525	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
CHN/SH-P120-3-North-America-USA/2020	2020-03-30	B.1	1.00	20A	China	China	20A	202014	OR240577	Homo sapiens		B.1	Older	Asia	Fudan University, School of life sciense	Lv et al			
Dominican_Republic/ICGEB_UNIBE032.2/2020	2020-05-06	B.1	1.00	20A	Dominican Republic	Dominican Republic	20A	202019	OK523390	Homo sapiens		B.1	Older	North America	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Paulino-Ramirez et al			
VEN/Anz7498/2021	2021-03-12	B.1.111	3.00	20A	Venezuela	Venezuela	20A	202110	MZ611974	Homo sapiens		B.1.111	Older	South America	IVIC, CMBC	Pujol et al			
Mexico/BCN-SEARCH-102972/2020	2020-05-22	B.1.399	1.00	20A	Mexico	Baja California	20A	202021	OK549312	Homo sapiens	SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)	B.1.399	Older	North America	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al			
BLR/Sars-Cov-2isolate724GomelBelarus/2021	2021-02-26	B.1	2.00	20A	Belarus	Belarus	20A	202108	MW674675	Homo sapiens		B.1	Older	Europe	Gomel State Medical University, Central Scientific Research Department	Stoma et al			
OU998716	2020-08-23	B.1.398	2.00	20A	Saudi Arabia	Madinah	20A	202035	OU998716	Homo sapiens	King Abdullah University of Science and Technology (KAUST)	B.1.398	Older	Asia	KAUST, Pathogen Genomics Laboratory, KAUST, Thuwal, 23955- 6900	Naeem et al			
CHN/SH-P186-4-Europe-Ukraine/2020	2020-09-18	B.1	2.00	20A	China	China	20A	202038	OR240652	Homo sapiens		B.1	Older	Asia	Fudan University, School of life sciense	Lv et al			
MYS/NCOV26520/2021	2021-03-26	B.1.524	2.00	20A	Malaysia	Malaysia	20A	202112	OM062519	Homo sapiens		B.1.524	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al			
MYS/NCOV27753/2020	2020-11-28	B.1.524	1.00	20A	Malaysia	Malaysia	20A	202048	OK594611	Homo sapiens		B.1	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al			
OV027212	2020-04-06	B.1	1.00	20A	Saudi Arabia	Makkah	20A	202015	OV027212	Homo sapiens	King Abdullah University of Science and Technology (KAUST)	B.1	Older	Asia	KAUST, Pathogen Genomics Laboratory, KAUST, Thuwal, 23955- 6900	Naeem et al			
IND/GBRC517b/2020	2020-11-24	B.1	1.00	20A	India	India	20A	202048	MZ268619	Homo sapiens		B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al			
IND/GBRC517a/2020	2020-11-24	B.1	1.00	20A	India	India	20A	202048	MZ268601	Homo sapiens		B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Sharma et al			
UGA/MAKCHScov8/2021	2021-02-19	B.1.393	3.00	20A	Uganda	Uganda	20A	202107	MZ287370	Homo sapiens		B.1.393	Older	Africa	Makerere University, Immunology and Molecular Biology	Mwesigwa et al			
UGA/MUWRP-KIR200049S/2020	2020-08-28	B.1.393	1.00	20A	Uganda	Uganda	20A	202035	OM811378	Homo sapiens		B.1.393	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al			
IND/GBRC279/2020	2020-06-18	B.1	1.00	20A	India	Gujarat	20A	202025	MT799969	Homo sapiens	B.J. Medical College and Civil hospital, Ahmedabad	B.1.145	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Gandhi et al			
England/ALDP-4A78C3/2020	2020-06-08	B.1	1.00	20A	United Kingdom	England	20A	202024	OA981583	Homo sapiens	Lighthouse Lab in Alderley Park	B.1	Older	Europe	Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA	Wynn et al			
TZA/KIDH-01B06/2021	2021-01-23	B.1.530	4.00	20A	Tanzania	Tanzania	20A	202103	OP236815	Homo sapiens		B.1.530	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al			
MEX/YUC-NYGC-14455/2020	2020-10-15	B.1	1.00	20A	Mexico	Yucatan	20A	202042	PX058326	Homo sapiens	Universidad Autonoma de Yucatan	B.1	Older	North America	COVID-19 Genomics Research Network NYGC Submitters, COVID-19 Genomics Research Network	Germer et al			
IRL/AIIDV1446/2020	2020-12-03	B.1.177.18	3.00	20E	Ireland	Dublin	20E	202049	ON350866	Homo sapiens		B.1.177.18	Older	Europe	University College Dublin, Centre for Experimental Pathogen Host Research	O Reilly et al			
CHN/S151-1422-257759/2021	2021-05-05	B.1.177	2.00	20E	China	China	20E	202118	PP380202	Homo sapiens		B.1.177	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al			
ESP/HUD-61635412/2021	2021-02-13	B.1.177.53	2.00	20E	Spain	Spain	20E	202106	MW715073	Homo sapiens		B.1.177.53	Older	Europe	UNIVERSITY HOSPITAL DONOSTIA, Microbiology	Cilla et al			
IND/GBRC653b/2021	2021-03-31	B.1	2.00	20A	India	India	20A	202113	MZ340537	Homo sapiens		B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandit et al			
