strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
IDN/10761001055/2021	2021-03-17	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202111	PX063748	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
CHN/S145-1286-245712/2021	2021-04-10	B.1.466.2	3.00	20A	China	China	20A	202114	PP380196	Homo sapiens	B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
CHN/S147-1288-245897/2021	2021-04-10	B.1.466.2	3.00	20A	China	China	20A	202114	PP380198	Homo sapiens	B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
SAU/509/2020	2020-02-09	B.1	1.00	20A	Saudi Arabia	Saudi Arabia	20A	202007	MT755885	Homo sapiens	B.1	Older	Asia	King Fahad Medical City, Research Laboratories	Alosaimi et al				
IND/GBRC76/2020	2020-05-05	B.1	2.00	20A	India	Gujarat	20A	202019	MT481897	Homo sapiens	B.1.247	Older	Asia	Gujarat Biotechnology Research Centre	Shrimali et al				
NGA/CV343/2020	2020-05-04	B.1.462	2.00	20A	Nigeria	Nigeria	20A	202019	OQ050508	Homo sapiens	B.1.462	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV329/2020	2020-04-25	B.1.462	1.00	20A	Nigeria	Nigeria	20A	202017	OQ050498	Homo sapiens	B.1.462	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
IND/GBRC12/2020	2020-04-26	B.1	1.00	20A	India	Gujarat	20A	202018	MT451876	Homo sapiens	B.1	Older	Asia	Gujarat Biotechnology Research Centre	Savaliya et al				
IDN/RSDS-RCVTD-UNAIR-6-B/2020	2020-05-19	B.1.470	1.00	20A	Indonesia	Indonesia	20A	202021	MZ026854	Homo sapiens	B.1.470	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al				
IDN/RSDS-RCVTD-UNAIR-11-B/2020	2020-05-19	B.1	1.00	20A	Indonesia	Indonesia	20A	202021	MZ026855	Homo sapiens	B.1.470	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al				
IDN/RSDS-RCVTD-UNAIR-33-B/2020	2020-06-24	B.1	3.00	20A	Indonesia	Indonesia	20A	202026	MZ570402	Homo sapiens	B.1	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al				
IDN/RSDS-RCVTD-UNAIR-33-C/2020	2020-06-24	B.1	3.00	20A	Indonesia	Indonesia	20A	202026	MZ570426	Homo sapiens	B.1	Older	Asia	Institute of Tropical Disease, Airlangga University, Research Center for Vaccine Research and Development	Rantam et al				
IND/GBRC189/2020	2020-06-02	B.1	1.00	20A	India	Gujarat	20A	202023	MT676397	Homo sapiens	B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandya et al	Government Medical College, Vadodara			
IND/GBRC-389a/2020	2020-07-06	B.1.465	1.00	20A	India	Gujarat	20A	202028	MT954067	Homo sapiens	B.1.465	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Gandhi et al	GMERS Medical College and Hospital, Dharpur, Patan			
FRA/IHUCOVID-029149-Nova1M/2020	2020-11-22	B.1.160	2.00	20A	France	France	20A	202048	ON291667	Homo sapiens	B.1.160	Older	Europe	Aix Marseille University, Aix Marseille University (AMU) - Faculty of Medicine - MEPHI - IHU - APHM	Levasseur et al				
FRA/IHUCOVID-002992/2020	2020-12-25	B.1.160	2.00	20A	France	France	20A	202052	ON302272	Homo sapiens	B.1.160	Older	Europe	Aix Marseille University, Aix Marseille University (AMU) - Faculty of Medicine - MEPHI - IHU - APHM	Levasseur et al				
IND/GBRC213a/2020	2020-06-11	B.1	5.00	20A	India	Gujarat	20A	202024	MT664793	Homo sapiens	B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Chauhan et al	Department of MicroBiology, Government Medical College, Surat			
IND/GBRC302a/2020	2020-06-15	B.1.468	2.00	20A	India	Gujarat	20A	202025	MT800896	Homo sapiens	B.1.113	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Shah et al	GMERS Medical College and Hospital, Gotri, Vadodara			
PAK/JRCGR-KHI37/2020	2020-08-10	B.1.36	2.00	20A	Pakistan	Sindh	20A	202033	MW447638	Homo sapiens	B.1.36	Older	Asia	University of Karachi, Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, ICCBS	Shakeel et al				
EGY/EGY_CCHE57357_P_16/2020	2020-06-22	B.1.36	3.00	20A	Egypt	Egypt	20A	202026	MW467489	Homo sapiens	B.1	Older	Africa	Children Cancer Hospital, Genomics Program	Hatem et al				
IND/IITRnCoV21/2020	2020-07-24	B.1.36	2.00	20A	India	India	20A	202030	OR655325	Homo sapiens	B.1.36	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al				
IND/GBRC45/2020	2020-04-29	B.1.36	2.00	20A	India	Gujarat	20A	202018	MT467253	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre	Aring et al				
IND/GBRC164/2020	2020-05-27	B.1.36	1.00	20A	India	Gujarat	20A	202022	MT576057	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Verma et al				
IND/GBRC244/2020	2020-06-14	B.1.36	2.00	20A	India	Gujarat	20A	202025	MT740444	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Gandhi et al	GMERS Medical College Himmatnagar			
IND/GBRC411/2020	2020-07-18	B.1.36	1.00	20A	India	Gujarat	20A	202029	MW173298	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Labana et al	Zydus Medical Hospital,Dahod			
IND/GBRC549/2021	2021-01-02	B.1.36	2.00	20A	India	India	20A	202053	MZ292134	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Raval et al				
IND/GBRC532a/2020	2020-12-14	B.1.36.22	2.00	20A	India	India	20A	202051	MZ269079	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al				
IND/INSACOG-GBRC1613/2020	2020-12-24	B.1.36	4.00	20A	India	India	20A	202052	OM901119	Homo sapiens	B.1.36.8	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Patel et al				
IND/KA-NIMH-SEQ-2/2020	2020-12-16	B.1.36.29	1.00	20A	India	Karnataka	20A	202051	OM073811	Homo sapiens	B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/INSACOG-GBRC1619/2021	2021-03-18	B.1.36.29	2.00	20A	India	India	20A	202111	OM915406	Homo sapiens	B.1.36.29	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Shukla et al				
IND/KA-NIMH-SEQ-137/2020	2020-11-24	B.1.36.29	2.00	20A	India	Karnataka	20A	202048	OM073925	Homo sapiens	B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/KA-NIMH-SEQ-173/2021	2021-01-21	B.1.36.29	3.00	20A	India	Karnataka	20A	202103	OM073959	Homo sapiens	B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/KA-NIMH-SEQ-163/2021	2021-01-20	B.1.36.29	3.00	20A	India	Karnataka	20A	202103	OM073949	Homo sapiens	B.1.36.29	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
PAK/JRCGR_SCV-70/2020	2020-11-21	B.1.36.31	3.00	20A	Pakistan	Sindh	20A	202047	MW960292	Homo sapiens	B.1.36.31	Older	Asia	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, Jamil-ur-Rahman Center for Genome Research	Irfan et al				
PAK/GL-NIBD-04/2020	2020-10-15	B.1.36.31	3.00	20A	Pakistan	Pakistan	20A	202042	MW411961	Homo sapiens	B.1.36.31	Older	Asia	National Institute Of Blood Disease & Bone Marrow Transplantation, Department of Genomics	Mukry et al				
MYS/NCOV14101/2021	2021-02-18	B.1.524	1.00	20A	Malaysia	Malaysia	20A	202107	OM062506	Homo sapiens	B.1.524	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al				
MYS/NCOV14004/2020	2020-12-22	B.1.36	1.00	20A	Malaysia	Malaysia	20A	202052	OM062564	Homo sapiens	B.1.36	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al				
HongKong/HKPU-00109/2020	2020-11-24	B.1.36	1.00	20A	Hong Kong	Hong Kong	20A	202048	MZ266458	Homo sapiens	B.1.36.27	Older	Asia	The Hong Kong Polytechnic University, Department of Health Technology and Informatics	Siu et al				
CHN/RS4_pool/2021	2021-01-16	B.1.36	1.00	20A	China	China	20A	202102	MZ578003	Homo sapiens	B.1.36.27	Older	Asia	The University of Hong Kong, Civil Engineering	Xu et al				
Guatemala/UN-CDC-3536655-001/2020	2020-03-15	B.1	1.00	20A	Guatemala	Guatemala	20A	202012	MT844031	Homo sapiens	B.1	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Tao et al				
LR884188	2020-03-27	B.1	1.00	20A	Spain	Spain	20A	202013	LR884188	Homo sapiens	B.1	Older	Europe	HOSPITAL UNIVERSITARY 12 DE OCTUBRE, Microbiology, Avenida de Cordoba sn 28041 Madrid	Viedma et al	Hospital Universitario12 de Octubre			
LR884153	2020-04-22	B.1	1.00	20A	Spain	Spain	20A	202017	LR884153	Homo sapiens	B.1	Older	Europe	HOSPITAL UNIVERSITARY 12 DE OCTUBRE, Microbiology, Avenida de Cordoba sn 28041 Madrid	Viedma et al	Hospital Universitario La Paz			
MEX/BCS-491/2020	2020-05-04	B.1.609	1.00	20A	Mexico	Mexico	20A	202019	OK435271	Homo sapiens	B.1.609	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al				
CHN/SH-P185-4-Africa-Senegal/2020	2020-09-18	B.1	1.00	20A	China	China	20A	202038	OR240651	Homo sapiens	B.1.416	Older	Asia	Fudan University, School of life sciense	Lv et al				
CHN/SH-P176-4-North-America-Mexico/2020	2020-06-08	B.1	1.00	20A	China	China	20A	202024	OR240642	Homo sapiens	B.1	Older	Asia	Fudan University, School of life sciense	Lv et al				
ZAF/NHLS-UCT-GS-3472/2020	2020-09-28	B.1	2.00	20A	South Africa	South Africa	20A	202040	PP519306	Homo sapiens	B.1.237	Older	Africa	University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division	Wilkinson et al				
USA/MT-UMGC-03903/2020	2020-09-29	B.1	1.00	20A	USA	Montana	20A	202040	OQ315211	Homo sapiens	B.1	Older	North America	University of Montana, Molecular and Biomedical Sciences	Conner et al				
USA/AK-PHL6871/2021	2021-01-15	B.1.396	1.00	20A	USA	Alaska	20A	202102	MZ233575	Homo sapiens	B.1.396	Older	North America	Alaska State Public Health Labs, Alaska State Virology Lab	DeRonde et al				
BLR/Sars-Cov-2isolate724GomelBelarus/2021	2021-02-26	B.1	2.00	20A	Belarus	Belarus	20A	202108	MW674675	Homo sapiens	B.1	Older	Europe	Gomel State Medical University, Central Scientific Research Department	Stoma et al				
IND/ICMR-NIRTH-S4/2020	2020-03-20	B.1.195	2.00	20A	India	Madhya Pradesh	20A	202012	MZ960293	Homo sapiens	B.1.195	Older	Asia	ICMR National Institute of Research in Tribal Health, Jabalpur, Communicable Diseases	Dwivedi et al	ICMR - National Institute of Research in Tribal Health, Jabalpur, MP, India			
KEN/NIC_228/2020	2020-03-22	B.1	1.00	20A	Kenya	Kenya	20A	202013	OL913318	Homo sapiens	B.1	Older	Africa	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography	Githinji et al				
NGA/CV322/2020	2020-07-20	B.1	1.00	20A	Nigeria	Nigeria	20A	202030	OQ050493	Homo sapiens	B.1	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
IND/nimh-3033/2020	2020-04-22	B.1.210	1.00	20A	India	Karnataka	20A	202017	MW191501	Homo sapiens	B.1.210	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al	NIMHANS			
GIN/C2/2020	2020-05-13	B.1	1.00	20A	Guinea	Guinea	20A	202020	MZ622025	Homo sapiens	B.1	Older	Africa	"Russian Research Anti-plague Institute ""Microbe"", Microbiology"	Krasnov et al				
IND/GBRC112/2020	2020-05-02	B.1	1.00	20A	India	Gujarat	20A	202018	MT509649	Homo sapiens	B.1.143	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Patel et al				
CUB/USAFSAM-S030/2020	2020-03-19	B.1	1.00	20A	Cuba	Cuba	20A	202012	MT873896	Homo sapiens	B.1.378	Older	North America	United States Air Force School of Aerospace Medicine, Public Health	Fries et al	United States Air Force School of Aerospace Medicine			
CUB/USAFSAM-S031/2020	2020-03-24	B.1	2.00	20A	Cuba	Cuba	20A	202013	MT873897	Homo sapiens	B.1.378	Older	North America	United States Air Force School of Aerospace Medicine, Public Health	Fries et al	United States Air Force School of Aerospace Medicine			
LKA/COV91/2020	2020-03-19	B.1	1.00	20A	Sri Lanka	Sri Lanka	20A	202012	MT371049	Homo sapiens	B.1	Older	Asia	University of Sri Jayewardenepura, Allergy, Immunology and Cell Biology Unit	Jeewandara et al				
CHN/SH-P121-B-3-Europe-France/2020	2020-04-02	B.1	1.00	20A	China	China	20A	202014	OR240579	Homo sapiens	B.1	Older	Asia	Fudan University, School of life sciense	Lv et al				
IND/GMCKN318/2020	2020-03-11	B.1	1.00	20A	India	India	20A	202011	MT415321	Homo sapiens	B.1	Older	Asia	Osmania University, Virus Research Laboratory, Department of Zoology	Kammili et al				
EGY/CUNCI-HGC005/2020	2020-05-02	B.1	1.00	20A	Egypt	Egypt	20A	202018	MT510698	Homo sapiens	B.1	Older	Africa	National Cancer Institute, Cancer Biology Department	Zekri et al				
NGA/CV208/2020	2020-04-24	B.1	1.00	20A	Nigeria	Nigeria	20A	202017	OQ050413	Homo sapiens	B.1	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV389/2020	2020-08-17	B.1	1.00	20A	Nigeria	Nigeria	20A	202034	OQ050546	Homo sapiens	B.1	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
Belgium/42477217/2020	2020-10-09	B.1	2.00	20A	Belgium	Limburg BE	20A	202041	OU280445	Homo sapiens	B.1	Older	Europe	SIB, Ch. des Mines 9	?	Clinical Virology, University Hospital Basel, Switzerland			
Neovisonvison/NLD/NB68-44-TS/2020	2020-11-03	B.1.8	4.00	20A	Netherlands	Netherlands	20A	202045	OM758353	Neogale vison	B.1.8	Older	Europe	WBVR, Virology	Vreeman et al				
UGA/MAKCHScov7/2021	2021-02-19	B.1.393	2.00	20A	Uganda	Uganda	20A	202107	MZ287361	Homo sapiens	B.1.393	Older	Africa	Makerere University, Immunology and Molecular Biology	Mwesigwa et al				
IRN/3279/2020	2020-12-05	B.1.1.413	3.00	20A	Iran	Iran	20A	202049	MZ314342	Homo sapiens	B.1.1	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Abbasalipour Bashash et al				
IRN/2019-nCoV_MN908947/2021	2021-05-15	B.1.1.413	3.00	20A	Iran	Tehran	20A	202119	OR726214	Homo sapiens	B.1.1.413	Older	Asia	Iran University of Medical Sciences (IUMS), Stem Cell Technology Research Center (STRC)	Ghasemi et al				
ESP/HUD-79063196/2020	2020-08-08	B.1.177	2.00	20E	Spain	Spain	20E	202032	MT953880	Homo sapiens	B.1.177.11	Older	Europe	UNIVERSITY HOSPITAL DONOSTIA, Microbiology	Cilla et al				
England/QEUH-B2F62C/2020	2020-11-04	B.1.177	3.00	20E	United Kingdom	England	20E	202045	OC997641	Homo sapiens	B.1.177.17	Older	Europe	Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA	VanSteenhouse et al	Lighthouse Lab in Glasgow			
CMR/CR-210135/2020	2020-10-26	W.1	2.00	20E	Cameroon	Cameroon	20E	202044	OQ521564	Homo sapiens	W.1	Older	Africa	Ministere de la Sante Publique - Cameroun, Genomic Surveillance Group	Fokam et al				
ITA/201112-33/2020	2020-10-30	B.1.177.52	2.00	20E	Italy	Italy	20E	202044	OL989066	Homo sapiens	B.1.177.52	Older	Europe	Nanjing Municipal Center for Disease Control and Prevention, Microbiology Laboratory	Zhao et al				
IND/GBRC-362a/2020	2020-06-18	B.1	1.00	20A	India	Gujarat	20A	202025	MT950532	Homo sapiens	B.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Puvar et al	B.J. Medical College and Civil hospital, Ahmedabad			
IND/KA-NIMH-SEQ-166/2021	2021-01-20	B.1.1	1.00	20A	India	Karnataka	20A	202103	OM073952	Homo sapiens	B.1.560	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/KA-NIMH-SEQ-91/2020	2020-11-24	B.1.1	1.00	20A	India	Karnataka	20A	202048	OM073887	Homo sapiens	B.1.560	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/KA-NIMH-SEQ-145/2021	2021-01-13	B.1.1	1.00	20A	India	Karnataka	20A	202102	OM073931	Homo sapiens	B.1.560	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
IND/KA-NIMH-SEQ-27/2020	2020-12-23	B.1.1	1.00	20A	India	Karnataka	20A	202052	OM073829	Homo sapiens	B.1.560	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al				
MLI/MAL0130/2021	2021-04-05	B.1.525	8.00	21D (Eta)	Mali	Bamako	21D	202114	OL601948	Homo sapiens	B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al				
MLI/MAL0115/2021	2021-03-31	B.1.525	8.00	21D (Eta)	Mali	Bamako	21D	202113	OL601936	Homo sapiens	B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al				
NGA/CV1400/2021	2021-03-02	B.1.525	7.00	21D (Eta)	Nigeria	Nigeria	21D	202109	OQ050368	Homo sapiens	B.1.525	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
LBY/BTRCLibyaSARS-CoV-2WGS-19/2021	2021-02-25	B.1.525	7.00	21D (Eta)	Libya	Libya	21D	202108	MZ054875	Homo sapiens	B.1.525	Older	Africa	Biotechnology Research Center, Genetic Engineering	Alhudiri et al				
NGA/BCVL-18317/2021	2021-01-07	B.1.525	7.00	21D (Eta)	Nigeria	Oyo State	21D	202101	OL601596	Homo sapiens	B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al				
NGA/BCVL-24671/2021	2021-03-01	B.1.525	7.00	21D (Eta)	Nigeria	Oyo State	21D	202109	OL601844	Homo sapiens	B.1.525	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al				
NGA/CV1123/2021	2021-04-16	B.1.525	7.00	21D (Eta)	Nigeria	Nigeria	21D	202115	OQ050286	Homo sapiens	B.1.525	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
IND/INSACOG-GBRC1388/2021	2021-03-18	B.1.617.1	7.00	21B (Kappa)	India	India	21B	202111	OM759995	Homo sapiens	B.1.617.1	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al				
FIN/FIN40-VE6-THL-202109869/2021	2021-03-19	B.1.617.1	6.00	21B (Kappa)	Finland	Finland	21B	202111	OM680927	Homo sapiens	B.1.617.1	Older	Europe	Finnish Institute for Health and Welfare, Expert Microbiology Unit	Laine et al				
OM267725	2021-07-15	B.1.617.2	8.00	21A (Delta)	India	India	21A	202128	OM267725	Homo sapiens	B.1.617.2	Older	Asia	AIIMS Raipur, Microbiology	Singh et al				
OM267619	2021-07-06	B.1.617.2	8.00	21A (Delta)	India	India	21A	202127	OM267619	Homo sapiens	B.1.617.2	Older	Asia	AIIMS Raipur, Microbiology	Singh et al				
CHN/S178-1826-324315/2021	2021-08-05	AY.51	8.00	21A (Delta)	China	China	21A	202131	PP380229	Homo sapiens	AY.51	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
CHN/6245/2021	2021-06-05	B.1.617.2	9.00	21A (Delta)	China	Guangdong	21A	202122	OL664030	Homo sapiens	B.1.617.2	Older	Asia	Guangdong Provincial Center for Diseases Control and Prevention, GDCDC&GDIPH	Li et al				
CHN/6004/2021	2021-05-31	B.1.617.2	8.00	21A (Delta)	China	Guangdong	21A	202122	OL663950	Homo sapiens	B.1.617.2	Older	Asia	Guangdong Provincial Center for Diseases Control and Prevention, GDCDC&GDIPH	Li et al				
CHN/6173/2021	2021-06-01	B.1.617.2	8.00	21A (Delta)	China	Guangdong	21A	202122	OL663990	Homo sapiens	B.1.617.2	Older	Asia	Guangdong Provincial Center for Diseases Control and Prevention, GDCDC&GDIPH	Li et al				
CHN/6791/2021	2021-06-12	B.1.617.2	8.00	21A (Delta)	China	Guangdong	21A	202123	OL664017	Homo sapiens	B.1.617.2	Older	Asia	Guangdong Provincial Center for Diseases Control and Prevention, GDCDC&GDIPH	Li et al				
IND/CWS_0004_48819534/2021	2021-05-22	B.1.617.2	6.00	21A (Delta)	India	India	21A	202120	MZ558089	Homo sapiens	B.1.617.2	Older	Asia	King George's Medical University, Virology, Department of Microbiology	Prakash et al				
MNG/3002951739/2021	2021-03-08	B.1.617.2	8.00	21A (Delta)	Mongolia	Mongolia	21A	202110	ON008229	Homo sapiens	B.1.617.2	Older	Asia	CDC, VSPB	Enkhbat et al				
MMR/NayPyiTaw-dsmrc-034/2021	2021-07-06	AY.30	7.00	21A (Delta)	Myanmar	Myanmar	21A	202127	OK668276	Homo sapiens	AY.30	Older	Asia	DSMRC, DSMRC	Oo et al				
